feature_1,feature_2,correlation,abs_correlation
radio_flux_df107_24h,radio_flux_f107_delta_24h,1.0000000000000002,1.0000000000000002
imf_solar_wind_bx_gse_missing_flag,imf_solar_wind_by_gse_missing_flag,1.0,1.0
imf_solar_wind_bx_gse_missing_flag,imf_solar_wind_bz_gse_missing_flag,1.0,1.0
imf_solar_wind_bx_gse_source_id,imf_solar_wind_by_gse_source_id,1.0,1.0
imf_solar_wind_bx_gse_source_id,imf_solar_wind_bz_gse_source_id,1.0,1.0
imf_solar_wind_by_gse_missing_flag,imf_solar_wind_bz_gse_missing_flag,1.0,1.0
imf_solar_wind_by_gse_source_id,imf_solar_wind_bz_gse_source_id,1.0,1.0
imf_solar_wind_bx_gse_source_id,imf_solar_wind_bx_gse_missing_flag,-0.9993214818967788,0.9993214818967788
imf_solar_wind_bx_gse_source_id,imf_solar_wind_by_gse_missing_flag,-0.9993214818967788,0.9993214818967788
imf_solar_wind_bx_gse_source_id,imf_solar_wind_bz_gse_missing_flag,-0.9993214818967788,0.9993214818967788
imf_solar_wind_by_gse_source_id,imf_solar_wind_bx_gse_missing_flag,-0.9993214818967788,0.9993214818967788
imf_solar_wind_by_gse_source_id,imf_solar_wind_by_gse_missing_flag,-0.9993214818967788,0.9993214818967788
imf_solar_wind_by_gse_source_id,imf_solar_wind_bz_gse_missing_flag,-0.9993214818967788,0.9993214818967788
imf_solar_wind_bz_gse_source_id,imf_solar_wind_bx_gse_missing_flag,-0.9993214818967788,0.9993214818967788
imf_solar_wind_bz_gse_source_id,imf_solar_wind_by_gse_missing_flag,-0.9993214818967788,0.9993214818967788
imf_solar_wind_bz_gse_source_id,imf_solar_wind_bz_gse_missing_flag,-0.9993214818967788,0.9993214818967788
imf_solar_wind_bx_gse_missing_flag,imf_solar_wind_newell_int_6h,-0.9978863511009264,0.9978863511009264
imf_solar_wind_by_gse_missing_flag,imf_solar_wind_newell_int_6h,-0.9978863511009264,0.9978863511009264
imf_solar_wind_bz_gse_missing_flag,imf_solar_wind_newell_int_6h,-0.9978863511009264,0.9978863511009264
imf_solar_wind_bx_gse_source_id,imf_solar_wind_newell_int_6h,0.9971946781072525,0.9971946781072525
imf_solar_wind_by_gse_source_id,imf_solar_wind_newell_int_6h,0.9971946781072525,0.9971946781072525
imf_solar_wind_bz_gse_source_id,imf_solar_wind_newell_int_6h,0.9971946781072525,0.9971946781072525
imf_solar_wind_density,imf_solar_wind_density_missing_flag,-0.9970963675552363,0.9970963675552363
imf_solar_wind_bx_gse_source_id,imf_solar_wind_bt_source_id,0.9930174249172565,0.9930174249172565
imf_solar_wind_by_gse_source_id,imf_solar_wind_bt_source_id,0.9930174249172565,0.9930174249172565
imf_solar_wind_bz_gse_source_id,imf_solar_wind_bt_source_id,0.9930174249172565,0.9930174249172565
radio_flux_log_f107,radio_flux_log_f107_mean_24h,0.9925518998657564,0.9925518998657564
imf_solar_wind_bt_source_id,imf_solar_wind_bx_gse_missing_flag,-0.9923440996212054,0.9923440996212054
imf_solar_wind_bt_source_id,imf_solar_wind_by_gse_missing_flag,-0.9923440996212054,0.9923440996212054
imf_solar_wind_bt_source_id,imf_solar_wind_bz_gse_missing_flag,-0.9923440996212054,0.9923440996212054
imf_solar_wind_bt_source_id,imf_solar_wind_newell_int_6h,0.9902331829845992,0.9902331829845992
radio_flux_f107_mean_24h,radio_flux_log_f107_mean_24h,0.9790238944697501,0.9790238944697501
cme_last_cme_shock_proxy,cme_max_last_cme_shock_proxy_6h,0.9773503950774877,0.9773503950774877
cme_cme_influence_exp,cme_min_hours_since_last_cme_6h,-0.9752849412457036,0.9752849412457036
radio_flux_f107,radio_flux_log_f107,0.9724031411748122,0.9724031411748122
radio_flux_f107,radio_flux_f107_mean_24h,0.9711065569623216,0.9711065569623216
dst_dst_min_6h,dst_dst_mean_6h,0.9704128105472195,0.9704128105472195
radio_flux_log_f107,radio_flux_f107_mean_24h,0.9699484114531165,0.9699484114531165
cme_last_cme_v_med,cme_max_last_cme_v_med_12h,0.9697565589510387,0.9697565589510387
imf_solar_wind_bz_gse,imf_solar_wind_ey,-0.9691835673844431,0.9691835673844431
cme_hours_since_last_cme,cme_min_hours_since_last_cme_6h,0.9664217665473487,0.9664217665473487
kp_kp_max_6h,kp_kp_mean_6h,0.9644523454463502,0.9644523454463502
cme_hours_since_last_cme,cme_cme_influence_exp,-0.9624196124009708,0.9624196124009708
radio_flux_f107,radio_flux_log_f107_mean_24h,0.954543912043502,0.954543912043502
dst_dst,dst_dst_min_6h,0.9427255829392956,0.9427255829392956
dst_dst,dst_dst_mean_6h,0.935659275306571,0.935659275306571
imf_solar_wind_density_source_id,imf_solar_wind_density_missing_flag,-0.9344163370209487,0.9344163370209487
imf_solar_wind_density,imf_solar_wind_density_source_id,0.9336999678010524,0.9336999678010524
sunspot_ssn,radio_flux_log_f107,0.9252098468251463,0.9252098468251463
sunspot_ssn,radio_flux_log_f107_mean_24h,0.9243071413386132,0.9243071413386132
sunspot_ssn,radio_flux_f107_mean_24h,0.9163555768723007,0.9163555768723007
imf_solar_wind_dynamic_pressure,imf_solar_wind_pdyn_max_6h,0.9128428775458535,0.9128428775458535
kp_kp,kp_kp_mean_6h,0.9096043933766932,0.9096043933766932
imf_solar_wind_temperature_source_id,imf_solar_wind_temperature_missing_flag,-0.9054340730290072,0.9054340730290072
sunspot_ssn,radio_flux_f107,0.9033708430328574,0.9033708430328574
sunspot_ssn_mean_1944h,radio_flux_log_f107_mean_24h,0.9031833904193391,0.9031833904193391
kp_kp,kp_kp_max_6h,0.9014260223710535,0.9014260223710535
cme_cme_influence_exp,cme_mean_cme_influence_exp_12h,0.8999644558446285,0.8999644558446285
sunspot_ssn_mean_1944h,radio_flux_log_f107,0.897692958285702,0.897692958285702
sunspot_ssn_mean_1944h,radio_flux_f107_mean_24h,0.8665405465968312,0.8665405465968312
sunspot_ssn_mean_1944h,sunspot_ssn_std_1944h,0.8629258996259229,0.8629258996259229
kp_kp_delta_6h,kp_kp_slope_6h,0.8502105627782647,0.8502105627782647
imf_solar_wind_bz_south_frac_6h,imf_solar_wind_newell_int_6h,0.8499641845701008,0.8499641845701008
cme_min_hours_since_last_cme_6h,cme_mean_cme_influence_exp_12h,-0.8483709447457896,0.8483709447457896
sunspot_ssn_mean_1944h,radio_flux_f107,0.8472076568613645,0.8472076568613645
dst_dst_delta_6h,dst_dst_slope_6h,0.8430145499892199,0.8430145499892199
imf_solar_wind_bx_gse_missing_flag,imf_solar_wind_bz_south_frac_6h,-0.8355476131097025,0.8355476131097025
imf_solar_wind_by_gse_missing_flag,imf_solar_wind_bz_south_frac_6h,-0.8355476131097025,0.8355476131097025
imf_solar_wind_bz_gse_missing_flag,imf_solar_wind_bz_south_frac_6h,-0.8355476131097025,0.8355476131097025
sunspot_ssn,sunspot_ssn_mean_1944h,0.8354338861781906,0.8354338861781906
imf_solar_wind_bx_gse_source_id,imf_solar_wind_bz_south_frac_6h,0.8348134514260157,0.8348134514260157
imf_solar_wind_by_gse_source_id,imf_solar_wind_bz_south_frac_6h,0.8348134514260157,0.8348134514260157
imf_solar_wind_bz_gse_source_id,imf_solar_wind_bz_south_frac_6h,0.8348134514260157,0.8348134514260157
imf_solar_wind_bt_source_id,imf_solar_wind_bz_south_frac_6h,0.8289850793577122,0.8289850793577122
imf_solar_wind_speed_source_id,imf_solar_wind_bt_source_id,0.8135891306399187,0.8135891306399187
cme_hours_since_last_cme,cme_mean_cme_influence_exp_12h,-0.8113111337876278,0.8113111337876278
imf_solar_wind_speed_source_id,imf_solar_wind_bx_gse_source_id,0.8103036775953617,0.8103036775953617
imf_solar_wind_speed_source_id,imf_solar_wind_by_gse_source_id,0.8103036775953617,0.8103036775953617
imf_solar_wind_speed_source_id,imf_solar_wind_bz_gse_source_id,0.8103036775953617,0.8103036775953617
imf_solar_wind_speed_source_id,imf_solar_wind_bx_gse_missing_flag,-0.809767860842305,0.809767860842305
imf_solar_wind_speed_source_id,imf_solar_wind_by_gse_missing_flag,-0.809767860842305,0.809767860842305
imf_solar_wind_speed_source_id,imf_solar_wind_bz_gse_missing_flag,-0.809767860842305,0.809767860842305
dst_dst_negative_flag,dst_dst_neg_frac_6h,0.8091441863982406,0.8091441863982406
imf_solar_wind_speed_source_id,imf_solar_wind_newell_int_6h,0.8081465522008752,0.8081465522008752
sunspot_ssn_std_1944h,radio_flux_log_f107_mean_24h,0.8067379788445979,0.8067379788445979
sunspot_log_ssn,radio_flux_log_f107_mean_24h,0.8059363492045062,0.8059363492045062
sunspot_log_ssn,radio_flux_log_f107,0.8052350707258331,0.8052350707258331
sunspot_ssn_std_1944h,radio_flux_log_f107,0.8019395469555709,0.8019395469555709
